Week Ending,LineOfBusiness,Type,Prod,Sub Prod,Balance,Accounts,HIER1_CORP_ID,Group,Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Premium Yield Account,,56972012,43,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Premium Yield Account,,3872671923,156,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Premium Yield Account,,55701450,95,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Premium Yield Account,,10517095,16,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Advantage Interest Account,,4445420,17,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Advantage Interest Account,,116599910,34,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Advantage Interest Account,,9665721,18,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Advantage Interest Account,,1076435,2,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Smart Savings Plan,,48132,5,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Smart Savings Plan,,3382419,22,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Smart Savings Plan,,-76,1,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Secure Growth Certificate,,500000,1,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Secure Growth Certificate,,998316,4,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Everyday Access Account,,1576514,19,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Everyday Access Account,,169570,29,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Everyday Access Account,,1013635,17,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Everyday Access Account,,2153308,29,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Consumer Financial Services,FutureNest Retirement Plan,,85603,1,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Consumer Financial Services,FutureNest Retirement Plan,,3402,1,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Premium Yield Account,,40532,6,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Premium Yield Account,,50410,6,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Premium Yield Account,,1396748,8,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Premium Yield Account,,134094,5,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Advantage Interest Account,,3876181,31,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Advantage Interest Account,,382626,19,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Advantage Interest Account,,1337187,14,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Advantage Interest Account,,1115793,16,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Smart Savings Plan,,920,2,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Smart Savings Plan,,956914,131,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Smart Savings Plan,,80431,7,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Consumer Financial Services,Smart Savings Plan,,2890,2,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,1338744040,4244,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,218063379,1139,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,435123487,1899,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,171616077,891,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,250469259,1258,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,1151099332,2617,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,673759403,1676,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,1499256760,3127,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,233716129,646,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,853771531,1531,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,231310862,1113,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,222657720,1445,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,785109113,5345,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,413348990,1787,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,45746453,451,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Flexi Business Vault,,223671299,1353,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,68456920,110,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,209031599,88,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,63364142,68,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,47563043,109,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,35728925,83,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,158513942,165,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,62359255,98,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,74107680,118,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,82487615,33,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,126721381,128,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,142593158,145,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,25932762,32,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,316248835,259,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,15366945,135,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,26273828,119,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Secure Growth Certificate,,44649402,122,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,38261649,948,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,19627755,418,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,44688099,830,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,21771523,291,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,18003971,467,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,36965389,724,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,23282915,589,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,14480895,334,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,7443410,230,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,24030177,514,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,15963533,465,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,23187284,626,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,151446514,1028,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,23432156,593,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,15972874,538,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Everyday Access Account,,28099318,740,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,389142128,628,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,59372758,174,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,125417657,386,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,41153362,116,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,36545348,180,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,153398318,331,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,69882607,196,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,160748034,313,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,37191951,86,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,243051190,285,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,99456516,306,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,54346118,427,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,102596670,1353,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,54444811,391,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,32701706,155,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Premium Yield Account,,51081132,471,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,230317989,474,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,10373803,35,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,16849012,110,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,27323770,69,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,140094353,304,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,27582243,53,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,49817724,198,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,30905572,75,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,46138466,95,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,30473919,95,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,38489773,21,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,79222218,1473,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,349967853,773,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,29056109,308,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,14187251,28,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Advantage Interest Account,,142376793,535,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,9845665,98,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,1066551,57,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,1769178,47,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,614646,27,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,547266,25,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,6447991,52,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,9635240,55,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,5131175,30,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,628212,10,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,2718469,47,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,4919475,281,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,240691,12,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,4048032,46,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,1125321,35,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,5481470,42,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Enterprise Growth Unit,Smart Savings Plan,,325187,30,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,3766010,32,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,6903310,95,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,3735938,70,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,1680820,25,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,5146479,27,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,12471505,34,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,7265793,52,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,5699827,27,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,1070830,8,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,478489,11,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,3527847,25,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,1750157,21,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,8102407,48,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,1965640,24,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,4564393,50,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Secure Growth Certificate,,3192631,29,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,759856,70,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,1662381,160,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,5347347,274,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,1729698,98,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,2606745,125,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,4421099,129,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,1274892,121,GEOGRAPHY,Coastal Prime Group,Northshore Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,2062070,101,GEOGRAPHY,Coastal Prime Group,Coastal Horizon Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,2143317,19,GEOGRAPHY,Coastal Prime Group,Gulfstream Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,309423,25,GEOGRAPHY,Coastal Prime Group,Bayfront Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,537645,82,GEOGRAPHY,Atlantic Growth Collective,Piedmont Central Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,10844365,194,GEOGRAPHY,Atlantic Growth Collective,Commonwealth Central Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,19561292,260,GEOGRAPHY,Atlantic Growth Collective,Harborview Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,4287121,168,GEOGRAPHY,Atlantic Growth Collective,Seaside Gateway Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,1784836,155,GEOGRAPHY,Atlantic Growth Collective,Palmetto Metro Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,Everyday Access Account,,9642587,264,GEOGRAPHY,Atlantic Growth Collective,Blue Ridge Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,FutureNest Retirement Plan,,254301,27,GEOGRAPHY,Horizon Core Group,Metro Capital Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,FutureNest Retirement Plan,,221253,30,GEOGRAPHY,Horizon Core Group,Highland Valley Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,FutureNest Retirement Plan,,42474,11,GEOGRAPHY,Horizon Core Group,Southern Crest Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,FutureNest Retirement Plan,,130336,11,GEOGRAPHY,Horizon Core Group,Riverbend Territory
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,FutureNest Retirement Plan,,107440,6,GEOGRAPHY,Horizon Core Group,Harmony Plains Region
02-Jan-22,Prime Commercial Lending,Consumer Financial Services,FutureNest Retirement Plan,,84708,2,GEOGRAPHY,Coastal Prime Group,Lakeside Central Region
